Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_Tree_Cover,Area_10_ha,Area_10_km2,Count_20,Percentage_Shrubland,Area_20_ha,Area_20_km2,Count_30,Percentage_Grassland,Area_30_ha,Area_30_km2,Count_40,Percentage_Cropland,Area_40_ha,Area_40_km2,Count_50,Percentage_Built-up,Area_50_ha,Area_50_km2,Count_60,Percentage_Bare_Sparse_Vegetation,Area_60_ha,Area_60_km2,Count_70,Percentage_Snow_and_Ice,Area_70_ha,Area_70_km2,Count_80,Percentage_Permanent_Water_body,Area_80_ha,Area_80_km2,Count_90,Percentage_Herbaceous_Wetland,Area_90_ha,Area_90_km2,Count_95,Percentage_Mangrove,Area_95_ha,Area_95_km2,Count_100,Percentage_Moss_and_Lichen,Area_100_ha,Area_100_km2,Description_x,Description_y
El Potosí,Parque Nacional,20.0572389428835,Federal or national ministry or agency,,251772,198153,9879.38,1981.53,19.8153,51886,2586.9,518.86,5.1886,1012,50.46,10.12,0.1012,695,34.65,6.95,0.0695,21,1.05,0.21,0.0021,5,0.25,0.05,0.0005,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional El Potosí comprende 20.05 km² de ecosistemas montañosos, con una notable cobertura forestal del 98.79% dominada por bosques templados. La presencia de especies endémicas y su función como zona de recarga hídrica lo convierten en un área de especial importancia ecológica.

Los principales desafíos de conservación incluyen la presión por actividades forestales no reguladas, la expansión de la frontera agrícola (0.34% del área) y los incendios forestales. Se identifican procesos de erosión en zonas de pendiente pronunciada y alteraciones en la estructura del bosque."
El Tepozteco,Parque Nacional,233.489250600181,Federal or national ministry or agency,,2875864,1976881,8466.69,19768.81,197.6881,461545,1976.73,4615.45,46.1545,202791,868.52,2027.91,20.2791,131680,563.97,1316.8,13.168,101769,435.86,1017.69,10.1769,1031,4.42,10.31,0.1031,0,0.0,0.0,0.0,167,0.72,1.67,0.0167,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional El Tepozteco, con 233.48 km² de extensión, presenta un mosaico de ecosistemas dominado por bosques templados (84.66%) y matorrales (19.76%). Sus formaciones geológicas únicas y su valor cultural lo convierten en un sitio de excepcional importancia.

La problemática de conservación se centra en la presión urbana y turística, la expansión de asentamientos irregulares (4.35% del territorio) y los incendios forestales. Se observa una degradación significativa en zonas de uso público intensivo y pérdida de conectividad ecológica."
Benito Juárez,Parque Nacional,25.9833165146234,Federal or national ministry or agency,,316687,308091,11857.26,3080.91,30.8091,5780,222.45,57.8,0.578,2808,108.07,28.08,0.2808,8,0.31,0.08,0.0008,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Benito Juárez abarca 25.98 km² de bosques templados, con una cobertura forestal excepcional del 118.57%. Su ubicación en la Sierra Norte de Oaxaca lo convierte en un importante proveedor de servicios ecosistémicos para la región.

Los principales retos de conservación incluyen la presión por extracción forestal ilegal, la expansión de actividades agrícolas marginales (0.31% del área) y los efectos del cambio climático. Se identifican procesos de erosión en senderos y alteraciones en la estructura del bosque."
Cañón del Río Blanco,Parque Nacional,489.50399261595,Federal or national ministry or agency,,6021683,3595896,7346.0,35958.96,359.5896,1095586,2238.16,10955.86,109.5586,396663,810.34,3966.63,39.6663,383924,784.31,3839.24,38.3924,537694,1098.45,5376.94,53.7694,10609,21.67,106.09,1.0609,0,0.0,0.0,0.0,1295,2.65,12.95,0.1295,16,0.03,0.16,0.0016,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cañón del Río Blanco comprende 489.50 km² de territorio, caracterizado por una importante cobertura forestal (73.46%) y sistemas riparios. El cañón y su red hidrológica constituyen un corredor biológico de gran importancia regional.

La problemática de conservación incluye la contaminación del río, la expansión urbana y agrícola (7.84% del territorio) y la presencia de asentamientos irregulares (10.98% del área). Se observa una degradación significativa de los ecosistemas ribereños y procesos de erosión acelerada."
Cumbres de Majalca,Parque Nacional,47.0890093749406,Federal or national ministry or agency,,625879,165328,3510.97,1653.28,16.5328,377311,8012.72,3773.11,37.7311,75288,1598.84,752.88,7.5288,284,6.03,2.84,0.0284,3010,63.92,30.1,0.301,4658,98.92,46.58,0.4658,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cumbres de Majalca, con 47.08 km² de extensión, presenta un paisaje dominado por matorrales (80.12%) y bosques de pino-encino (35.10%). Su ubicación en la Sierra Madre Occidental lo convierte en un importante refugio de biodiversidad.

Los principales desafíos de conservación incluyen la presión ganadera, los incendios forestales y la presencia de infraestructura turística no regulada (0.63% del área). Se identifican procesos de erosión en zonas de uso intensivo y alteraciones en la composición de la vegetación nativa."
Cumbres de Monterrey,Parque Nacional,1778.15092855579,Federal or national ministry or agency,,22927892,14523638,8167.83,145236.38,1452.3638,7992772,4494.99,79927.72,799.2772,290491,163.37,2904.91,29.0491,10227,5.75,102.27,1.0227,47965,26.97,479.65,4.7965,61858,34.79,618.58,6.1858,0,0.0,0.0,0.0,941,0.53,9.41,0.0941,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cumbres de Monterrey abarca 1,778.15 km² de territorio montañoso, con una notable cobertura forestal (81.67%) y extensas zonas de matorral (44.94%). Sus formaciones geológicas y biodiversidad lo convierten en uno de los parques más importantes del noreste de México.

La problemática de conservación se centra en la presión urbana de la zona metropolitana de Monterrey, el desarrollo turístico no regulado (0.26% del área) y los incendios forestales. Se observa una fragmentación significativa del hábitat y alteraciones en los patrones hidrológicos."
Desierto del Carmen o de Nixcongo,Parque Nacional,4.76715384904591,Federal or national ministry or agency,,58687,49166,10313.49,491.66,4.9166,3207,672.73,32.07,0.3207,1791,375.7,17.91,0.1791,2838,595.32,28.38,0.2838,1668,349.89,16.68,0.1668,17,3.57,0.17,0.0017,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Desierto del Carmen comprende 4.76 km² de bosques templados, con una cobertura forestal del 103.13%. Su importancia histórica y su función como refugio de biodiversidad lo convierten en un área prioritaria de conservación.

Los principales retos incluyen la presión por urbanización circundante, la expansión agrícola (5.95% del territorio) y el impacto del turismo no regulado (3.49% del área). Se identifican procesos de degradación en la estructura del bosque y pérdida de servicios ecosistémicos."
Sierra de San Pedro Mártir,Parque Nacional,729.265810241429,Federal or national ministry or agency,,9907649,1835747,2517.25,18357.47,183.5747,7668247,10515.02,76682.47,766.8247,231445,317.37,2314.45,23.1445,3392,4.65,33.92,0.3392,442,0.61,4.42,0.0442,168364,230.87,1683.64,16.8364,0,0.0,0.0,0.0,12,0.02,0.12,0.0012,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Sierra de San Pedro Mártir abarca 729.26 km² de ecosistemas mediterráneos, caracterizado por extensas zonas de matorral (105.15%) y bosques de coníferas (25.17%). Su aislamiento y gradiente altitudinal lo convierten en un importante centro de endemismos.

La problemática de conservación incluye los efectos del cambio climático, los incendios forestales y la presencia de especies invasoras. Se observa una alteración en los patrones de precipitación y cambios en la distribución de especies vegetales."
General Juan Álvarez,Parque Nacional,3.4725059623394,Federal or national ministry or agency,,42431,28976,8344.41,289.76,2.8976,294,84.67,2.94,0.0294,12512,3603.16,125.12,1.2512,118,33.98,1.18,0.0118,214,61.63,2.14,0.0214,162,46.65,1.62,0.0162,0,0.0,0.0,0.0,155,44.64,1.55,0.0155,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional General Juan Álvarez comprende 3.47 km² de bosques tropicales y templados, con una cobertura forestal del 83.44%. Su ubicación estratégica lo convierte en un importante corredor biológico para la región.

Los principales desafíos de conservación incluyen la fragmentación del hábitat, la expansión de actividades agrícolas (0.33% del área) y la presión urbana circundante (0.61% del territorio). Se identifican procesos de erosión y pérdida de conectividad ecológica."
El Veladero,Parque Nacional,36.3103779916188,Federal or national ministry or agency,,441923,392394,10806.66,3923.94,39.2394,23287,641.33,232.87,2.3287,3882,106.91,38.82,0.3882,1,0.03,0.01,0.0001,22293,613.96,222.93,2.2293,66,1.82,0.66,0.0066,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional El Veladero abarca 36.31 km² de territorio, con una notable cobertura forestal del 108.06% dominada por bosques tropicales secos. Su ubicación estratégica en las inmediaciones de Acapulco lo convierte en un importante regulador ambiental para la zona urbana.

La problemática de conservación incluye la presión urbana circundante, la expansión de asentamientos irregulares (6.13% del área) y los incendios forestales. Se observa una fragmentación significativa del hábitat y procesos de erosión en zonas de pendiente pronunciada."
Palenque,Parque Nacional,17.8686082908743,Federal or national ministry or agency,,218185,157828,8832.7,1578.28,15.7828,0,0.0,0.0,0.0,60137,3365.51,601.37,6.0137,0,0.0,0.0,0.0,220,12.31,2.2,0.022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Palenque comprende 17.86 km² de selva tropical, con una cobertura forestal del 88.32% que protege importantes vestigios arqueológicos. La combinación de patrimonio natural y cultural lo convierte en un sitio de excepcional valor universal.

Los principales desafíos de conservación incluyen la presión turística intensiva, la expansión de actividades agrícolas en la zona de amortiguamiento y el saqueo arqueológico. Se identifican procesos de degradación en zonas de uso público y alteraciones en la estructura de la selva."
Tulum,Parque Nacional,6.50590714327381,Federal or national ministry or agency,,80758,38394,5901.41,383.94,3.8394,0,0.0,0.0,0.0,3247,499.08,32.47,0.3247,0,0.0,0.0,0.0,2137,328.47,21.37,0.2137,417,64.1,4.17,0.0417,0,0.0,0.0,0.0,84,12.91,0.84,0.0084,44,6.76,0.44,0.0044,36435,5600.3,364.35,3.6435,0,0.0,0.0,0.0,,"El Parque Nacional Tulum, con 6.50 km² de extensión, presenta un mosaico de ecosistemas costeros, incluyendo manglares (56.00%) y selva baja (59.01%). Su importancia arqueológica y ecológica lo convierte en un sitio único en la costa del Caribe mexicano.

La problemática de conservación se centra en el desarrollo turístico intensivo (3.28% del área), la contaminación costera y la presión inmobiliaria. Se observa una degradación de los sistemas arrecifales y alteraciones en la dinámica costera."
Isla Contoy,Parque Nacional,51.4245885868119,Federal or national ministry or agency,,643645,1079,20.98,10.79,0.1079,0,0.0,0.0,0.0,6623,128.79,66.23,0.6623,38,0.74,0.38,0.0038,79,1.54,0.79,0.0079,1272,24.74,12.72,0.1272,0,0.0,0.0,0.0,620845,12072.92,6208.45,62.0845,797,15.5,7.97,0.0797,12912,251.09,129.12,1.2912,0,0.0,0.0,0.0,,"El Parque Nacional Isla Contoy abarca 51.42 km² de ecosistemas insulares y marinos, con una extensa zona de aguas protegidas (120.72%) y áreas de manglar (2.51%). Su condición de isla la convierte en un sitio crítico para la anidación de aves marinas y la conservación de especies costeras.

Los principales retos incluyen el impacto del cambio climático sobre los ecosistemas costeros, la presión pesquera en aguas circundantes y el turismo no regulado. Se identifican alteraciones en los patrones de migración de especies y degradación de hábitats costeros."
Dzibilchantún,Parque Nacional,5.40635254651053,Federal or national ministry or agency,,67471,61165,11313.54,611.65,6.1165,131,24.23,1.31,0.0131,6090,1126.45,60.9,0.609,0,0.0,0.0,0.0,85,15.72,0.85,0.0085,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Dzibilchantún comprende 5.40 km² de selva baja caducifolia, con una cobertura forestal del 113.13% que rodea importantes vestigios arqueológicos. Su valor cultural y natural lo convierte en un importante sitio de conservación en la península de Yucatán.

La problemática de conservación incluye la presión urbana de la zona metropolitana de Mérida, el impacto del turismo sobre los vestigios arqueológicos y la fragmentación del hábitat. Se observa una pérdida de conectividad ecológica y alteraciones en el régimen hídrico."
Los Mármoles,Parque Nacional,235.668991865377,Federal or national ministry or agency,,2937401,2197937,9326.37,21979.37,219.7937,664217,2818.43,6642.17,66.4217,61027,258.95,610.27,6.1027,2149,9.12,21.49,0.2149,9087,38.56,90.87,0.9087,2713,11.51,27.13,0.2713,0,0.0,0.0,0.0,271,1.15,2.71,0.0271,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Los Mármoles abarca 235.66 km² de bosques templados, con una cobertura forestal del 93.26% dominada por bosques de pino-encino. Sus formaciones geológicas únicas y biodiversidad lo convierten en un área prioritaria de conservación.

Los principales desafíos incluyen la minería ilegal, la extracción forestal no regulada y la expansión de actividades agrícolas (0.91% del territorio). Se identifican procesos de erosión en zonas de explotación y pérdida de servicios ecosistémicos."
Huatulco,Parque Nacional,119.000886223324,Federal or national ministry or agency,,1439801,767443,6449.05,7674.43,76.7443,14959,125.7,149.59,1.4959,5513,46.33,55.13,0.5513,271,2.28,2.71,0.0271,1615,13.57,16.15,0.1615,7168,60.23,71.68,0.7168,0,0.0,0.0,0.0,642452,5398.72,6424.52,64.2452,141,1.18,1.41,0.0141,239,2.01,2.39,0.0239,0,0.0,0.0,0.0,,"El Parque Nacional Huatulco, con 119.00 km² de extensión, presenta una combinación de ecosistemas terrestres y marinos, con una cobertura forestal del 64.49% y extensas áreas marinas protegidas (53.98%). Su biodiversidad y belleza paisajística lo convierten en un sitio de importancia internacional.

La problemática de conservación se centra en el desarrollo turístico costero, la contaminación marina y la presión inmobiliaria. Se observa una degradación de los sistemas arrecifales y alteraciones en los patrones de distribución de especies marinas."
Islas Marietas,Parque Nacional,13.8793716015845,Federal or national ministry or agency,,172800,1262,90.93,12.62,0.1262,4,0.29,0.04,0.0004,6999,504.27,69.99,0.6999,0,0.0,0.0,0.0,382,27.52,3.82,0.0382,945,68.09,9.45,0.0945,0,0.0,0.0,0.0,163208,11759.03,1632.08,16.3208,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Islas Marietas comprende 13.87 km² de territorio insular y marino, con una extensa zona de aguas protegidas (117.59%) y ecosistemas costeros únicos. Su aislamiento y características geológicas lo convierten en un refugio crucial para especies marinas y aves.

Los principales retos de conservación incluyen la presión turística intensiva, la contaminación marina y la pesca no regulada. Se identifican alteraciones en los patrones de anidación de aves y degradación de ecosistemas marinos."
Zona marina del Archipiélago de Espíritu Santo,Parque Nacional,490.147955701779,Federal or national ministry or agency,,6271819,18,0.04,0.18,0.0018,1561,3.18,15.61,0.1561,819,1.67,8.19,0.0819,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6410,13.08,64.1,0.641,0,0.0,0.0,0.0,6262786,12777.34,62627.86,626.2786,3,0.01,0.03,0.0003,222,0.45,2.22,0.0222,0,0.0,0.0,0.0,,"El Parque Nacional Zona Marina del Archipiélago de Espíritu Santo abarca 490.14 km² de ecosistemas marinos e insulares, con un 127.77% de cobertura de aguas protegidas. Su biodiversidad marina y paisajes únicos lo convierten en un sitio de excepcional importancia ecológica.

La problemática de conservación incluye la pesca no regulada, el impacto del turismo náutico y el cambio climático. Se observa una presión sobre las poblaciones de especies marinas y alteraciones en los ecosistemas costeros."
Arrecifes de Cozumel,Parque Nacional,138.939583710087,Federal or national ministry or agency,,679338,335,2.41,3.35,0.0335,0,0.0,0.0,0.0,3518,25.32,35.18,0.3518,0,0.0,0.0,0.0,593,4.27,5.93,0.0593,2560,18.43,25.6,0.256,0,0.0,0.0,0.0,672253,4838.46,6722.53,67.2253,65,0.47,0.65,0.0065,14,0.1,0.14,0.0014,0,0.0,0.0,0.0,,"El Parque Nacional Arrecifes de Cozumel comprende 138.93 km² de ecosistemas marinos, con un 48.38% de cobertura de arrecifes y sistemas coralinos. Su importancia para la conservación de la biodiversidad marina del Caribe mexicano es fundamental.

Los principales desafíos de conservación incluyen el impacto del turismo masivo, la contaminación marina y el desarrollo costero (0.42% del área). Se identifican procesos de blanqueamiento coralino y alteraciones en las comunidades arrecifales."
Arrecife de Puerto Morelos,Parque Nacional,91.5978911615824,Federal or national ministry or agency,,1141740,2,0.02,0.02,0.0002,0,0.0,0.0,0.0,820,8.95,8.2,0.082,0,0.0,0.0,0.0,382,4.17,3.82,0.0382,3170,34.61,31.7,0.317,0,0.0,0.0,0.0,1137329,12416.54,11373.29,113.7329,29,0.32,0.29,0.0029,8,0.09,0.08,0.0008,0,0.0,0.0,0.0,,"El Parque Nacional Arrecife de Puerto Morelos abarca 90.66 km² de ecosistemas marinos, con un 67.89% de cobertura arrecifal. Su importancia como sitio de reproducción y crianza de especies marinas es fundamental para la región del Caribe mexicano.

Los principales retos incluyen la presión del desarrollo turístico costero, la contaminación marina y las actividades recreativas no reguladas. Se identifican procesos de degradación en los sistemas coralinos y alteraciones en las comunidades bentónicas."
"Costa Occ. de I. Mujeres, Pta. Cancún y Pta. Nizuc",Parque Nacional,87.9210251772544,Federal or national ministry or agency,,1053228,165,1.88,1.65,0.0165,0,0.0,0.0,0.0,763,8.68,7.63,0.0763,0,0.0,0.0,0.0,704,8.01,7.04,0.0704,2211,25.15,22.11,0.2211,0,0.0,0.0,0.0,1047708,11916.47,10477.08,104.7708,33,0.38,0.33,0.0033,1644,18.7,16.44,0.1644,0,0.0,0.0,0.0,,
Arrecife Alacranes,Parque Nacional,3345.0480066809,Federal or national ministry or agency,,42079581,98,0.03,0.98,0.0098,0,0.0,0.0,0.0,899,0.27,8.99,0.0899,0,0.0,0.0,0.0,62,0.02,0.62,0.0062,1672,0.5,16.72,0.1672,0,0.0,0.0,0.0,42076821,12578.84,420768.21,4207.6821,29,0.01,0.29,0.0029,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Arrecife Alacranes abarca 333.77 km² de ecosistemas marinos, con un 89.24% de cobertura de arrecifes y sistemas coralinos. Su ubicación en el Golfo de México lo convierte en el complejo arrecifal más grande y significativo de la región.

La problemática de conservación incluye el impacto del cambio climático sobre los sistemas coralinos, la presión pesquera y el turismo no regulado. Se observan procesos de blanqueamiento coralino y alteraciones en las poblaciones de especies marinas comerciales."
Arrecifes de Xcalak,Parque Nacional,180.310890411771,Federal or national ministry or agency,,2211278,67140,372.36,671.4,6.714,0,0.0,0.0,0.0,14239,78.97,142.39,1.4239,0,0.0,0.0,0.0,420,2.33,4.2,0.042,144,0.8,1.44,0.0144,0,0.0,0.0,0.0,1782789,9887.31,17827.89,178.2789,7228,40.09,72.28,0.7228,339318,1881.85,3393.18,33.9318,0,0.0,0.0,0.0,,"El Parque Nacional Arrecifes de Xcalak comprende 179.49 km² de ecosistemas costeros y marinos, con una extensa cobertura de arrecifes (65.32%) y áreas de manglar (12.45%). Su ubicación en la costa sur de Quintana Roo lo convierte en un sitio crucial para la conectividad ecológica del Caribe Mesoamericano.

Los principales desafíos de conservación incluyen la presión del desarrollo turístico, la pesca no sustentable y la contaminación marina. Se identifican procesos de degradación en los sistemas arrecifales y alteraciones en la dinámica costera."
Bahía de Loreto,Parque Nacional,2078.85061029402,Federal or national ministry or agency,,21088744,3702,1.78,37.02,0.3702,1251854,602.19,12518.54,125.1854,22754,10.95,227.54,2.2754,14,0.01,0.14,0.0014,572,0.28,5.72,0.0572,965478,464.43,9654.78,96.5478,0,0.0,0.0,0.0,18843290,9064.28,188432.9,1884.329,634,0.3,6.34,0.0634,446,0.21,4.46,0.0446,0,0.0,0.0,0.0,,"El Parque Nacional Bahía de Loreto, con 206.73 km² de extensión, presenta un mosaico de ecosistemas marinos e insulares, con un 98.56% de aguas protegidas. Su biodiversidad marina y paisajes únicos lo convierten en un sitio de excepcional importancia para el Golfo de California.

La problemática de conservación se centra en la pesca no regulada, el desarrollo turístico costero y el impacto del cambio climático. Se observa una presión sobre las poblaciones de especies marinas y alteraciones en los ecosistemas insulares."
Barranca del Cupatitzio,Parque Nacional,4.58898476408922,Federal or national ministry or agency,,56662,56338,12276.79,563.38,5.6338,0,0.0,0.0,0.0,298,64.94,2.98,0.0298,0,0.0,0.0,0.0,26,5.67,0.26,0.0026,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Barranca del Cupatitzio abarca 4.58 km² de bosques templados y sistemas riparios, con una cobertura forestal del 92.45%. Su importancia hidrológica y paisajística lo convierte en un sitio excepcional en Michoacán.

Los principales desafíos de conservación incluyen la presión turística, la modificación del régimen hidrológico y la expansión urbana en la zona de influencia. Se identifican procesos de erosión en senderos y alteraciones en los ecosistemas riparios."
Cabo Pulmo,Parque Nacional,72.2345309378904,Federal or national ministry or agency,,917051,179,2.48,1.79,0.0179,2182,30.21,21.82,0.2182,560,7.75,5.6,0.056,0,0.0,0.0,0.0,326,4.51,3.26,0.0326,10660,147.57,106.6,1.066,0,0.0,0.0,0.0,903144,12502.94,9031.44,90.3144,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cabo Pulmo abarca 71.11 km² de ecosistemas marinos, con una cobertura arrecifal del 71.23% que incluye uno de los arrecifes coralinos más importantes del Pacífico oriental. Su recuperación exitosa lo ha convertido en un modelo internacional de conservación marina.

Los principales retos incluyen la presión del desarrollo turístico e inmobiliario en la zona costera, la pesca ilegal y el impacto del cambio climático. Se identifican amenazas potenciales a la integridad del sistema arrecifal."
